site,name,day,total rainfall (mm),latitude,longitude
TA00122,Amenfiman SHS,2018-05-18,21.21,5.7786387,-2.090195
TA00122,Amenfiman SHS,2018-05-19,0.05,5.7786387,-2.090195
TA00123,Boa Amponsem SHS,2018-05-15,0,5.9631772,-1.7923338
TA00123,Boa Amponsem SHS,2018-05-16,0.43,5.9631772,-1.7923338
TA00123,Boa Amponsem SHS,2018-05-17,0.93,5.9631772,-1.7923338
TA00123,Boa Amponsem SHS,2018-05-18,0.21,5.9631772,-1.7923338
TA00123,Boa Amponsem SHS,2018-05-19,0.04,5.9631772,-1.7923338
TA00124,Church of Christ SHS,2018-05-15,0,5.5571256,-1.6933381
TA00124,Church of Christ SHS,2018-05-16,0,5.5571256,-1.6933381
TA00124,Church of Christ SHS,2018-05-17,0,5.5571256,-1.6933381
TA00124,Church of Christ SHS,2018-05-18,0,5.5571256,-1.6933381
TA00124,Church of Christ SHS,2018-05-19,0,5.5571256,-1.6933381
TA00125,Twifo Praso SHS,2018-05-15,0,5.6158834,-1.5797063
TA00125,Twifo Praso SHS,2018-05-16,0,5.6158834,-1.5797063
TA00125,Twifo Praso SHS,2018-05-17,0,5.6158834,-1.5797063
TA00125,Twifo Praso SHS,2018-05-18,0,5.6158834,-1.5797063
TA00125,Twifo Praso SHS,2018-05-19,0,5.6158834,-1.5797063
TA00126,Berekuso - Ashesi Unversity,2018-05-15,0,5.758029,-0.221716
TA00126,Berekuso - Ashesi Unversity,2018-05-16,1.8,5.758029,-0.221716
TA00126,Berekuso - Ashesi Unversity,2018-05-17,11.8,5.758029,-0.221716
TA00126,Berekuso - Ashesi Unversity,2018-05-18,0,5.758029,-0.221716
TA00126,Berekuso - Ashesi Unversity,2018-05-19,0.2,5.758029,-0.221716
TA00127,Alogboshie,2018-05-15,0,5.627016,-0.231426
TA00127,Alogboshie,2018-05-16,0,5.627016,-0.231426
TA00127,Alogboshie,2018-05-17,0,5.627016,-0.231426
TA00127,Alogboshie,2018-05-18,0,5.627016,-0.231426
TA00127,Alogboshie,2018-05-19,0,5.627016,-0.231426
TA00128,Odawna (Sahara),2018-05-15,0,5.560642,-0.217823
TA00128,Odawna (Sahara),2018-05-16,0,5.560642,-0.217823
TA00128,Odawna (Sahara),2018-05-17,0,5.560642,-0.217823
TA00128,Odawna (Sahara),2018-05-18,0,5.560642,-0.217823
TA00128,Odawna (Sahara),2018-05-19,0,5.560642,-0.217823
TA00136,Notre Dame Seminary/SHS, Navrongo,2018-05-15,0,10.8833736,-1.0711047
TA00136,Notre Dame Seminary/SHS, Navrongo,2018-05-16,0,10.8833736,-1.0711047
