,site,name,day,total rainfall (mm),latitude,longitude
142,TA00109,BREMAN ASIKUMA SHS,2018-05-17,4.87,5.5926509,-0.9964172
143,TA00109,BREMAN ASIKUMA SHS,2018-05-18,0.04,5.5926509,-0.9964172
144,TA00109,BREMAN ASIKUMA SHS,2018-05-19,0.06,5.5926509,-0.9964172
145,TA00110,FOSO COLLEGE OF EDUCATION,2018-05-15,0,5.6826423,-1.2650179
146,TA00110,FOSO COLLEGE OF EDUCATION,2018-05-16,0,5.6826423,-1.2650179
147,TA00110,FOSO COLLEGE OF EDUCATION,2018-05-17,24.63,5.6826423,-1.2650179
148,TA00110,FOSO COLLEGE OF EDUCATION,2018-05-18,0.02,5.6826423,-1.2650179
149,TA00110,FOSO COLLEGE OF EDUCATION,2018-05-19,0.45,5.6826423,-1.2650179
150,TA00111,HOHOE E.P. SHS,2018-05-15,0,7.1700372,0.4687968
151,TA00111,HOHOE E.P. SHS,2018-05-16,0.02,7.1700372,0.4687968
152,TA00111,HOHOE E.P. SHS,2018-05-17,13.64,7.1700372,0.4687968
153,TA00111,HOHOE E.P. SHS,2018-05-18,0.02,7.1700372,0.4687968
154,TA00111,HOHOE E.P. SHS,2018-05-19,0,7.1700372,0.4687968
155,TA00112,OTI SENIOR HIGH TECH.,2018-05-15,0,8.049376,0.191168
156,TA00112,OTI SENIOR HIGH TECH.,2018-05-16,0,8.049376,0.191168
157,TA00112,OTI SENIOR HIGH TECH.,2018-05-17,0.95,8.049376,0.191168
158,TA00112,OTI SENIOR HIGH TECH.,2018-05-18,0.06,8.049376,0.191168
159,TA00112,OTI SENIOR HIGH TECH.,2018-05-19,0,8.049376,0.191168
160,TA00113,NKWANTA SHS,2018-05-15,0,8.2711238,0.5152645
161,TA00113,NKWANTA SHS,2018-05-16,0.02,8.2711238,0.5152645
162,TA00113,NKWANTA SHS,2018-05-17,3.37,8.2711238,0.5152645
163,TA00113,NKWANTA SHS,2018-05-18,0.04,8.2711238,0.5152645
164,TA00113,NKWANTA SHS,2018-05-19,0,8.2711238,0.5152645
165,TA00114,BUEMAN SHS,2018-05-15,0.24,7.4220573,0.4625504
166,TA00114,BUEMAN SHS,2018-05-16,0,7.4220573,0.4625504
167,TA00114,BUEMAN SHS,2018-05-17,0.14,7.4220573,0.4625504
168,TA00114,BUEMAN SHS,2018-05-18,0.06,7.4220573,0.4625504
169,TA00114,BUEMAN SHS,2018-05-19,0,7.4220573,0.4625504
170,TA00115,KPEVE SENIOR HIGH TECH.,2018-05-15,0,6.6764708,0.3277943
171,TA00115,KPEVE SENIOR HIGH TECH.,2018-05-16,23.54,6.6764708,0.3277943
172,TA00115,KPEVE SENIOR HIGH TECH.,2018-05-17,0.97,6.6764708,0.3277943
173,TA00115,KPEVE SENIOR HIGH TECH.,2018-05-18,0.08,6.6764708,0.3277943
174,TA00115,KPEVE SENIOR HIGH TECH.,2018-05-19,0.02,6.6764708,0.3277943
175,TA00116,AMEDZOFE TECHNICAL INSTITUTE,2018-05-15,0,6.8458153,0.4406979
176,TA00116,AMEDZOFE TECHNICAL INSTITUTE,2018-05-16,2.66,6.8458153,0.4406979
177,TA00116,AMEDZOFE TECHNICAL INSTITUTE,2018-05-17,1.81,6.8458153,0.4406979
178,TA00116,AMEDZOFE TECHNICAL INSTITUTE,2018-05-18,0.61,6.8458153,0.4406979
179,TA00116,AMEDZOFE TECHNICAL INSTITUTE,2018-05-19,0,6.8458153,0.4406979
180,TA00117,KETA SHS,2018-05-15,0,5.8950832,0.9895673
181,TA00117,KETA SHS,2018-05-16,0,5.8950832,0.9895673
182,TA00117,KETA SHS,2018-05-17,16.7,5.8950832,0.9895673
183,TA00117,KETA SHS,2018-05-18,0,5.8950832,0.9895673
184,TA00117,KETA SHS,2018-05-19,0,5.8950832,0.9895673
185,TA00118,TEMA SECONDARY SCHOOL,2018-05-15,0,5.6414133,-0.0118703
186,TA00118,TEMA SECONDARY SCHOOL,2018-05-16,0,5.6414133,-0.0118703
187,TA00118,TEMA SECONDARY SCHOOL,2018-05-17,1.07,5.6414133,-0.0118703
188,TA00118,TEMA SECONDARY SCHOOL,2018-05-18,0.02,5.6414133,-0.0118703
189,TA00118,TEMA SECONDARY SCHOOL,2018-05-19,0,5.6414133,-0.0118703
190,TA00119,ELUBO,2018-05-15,2.13,5.1611293,-2.6414389
191,TA00119,ELUBO,2018-05-16,0,5.1611293,-2.6414389
192,TA00119,ELUBO,2018-05-17,0,5.1611293,-2.6414389
193,TA00119,ELUBO,2018-05-18,0,5.1611293,-2.6414389
194,TA00119,ELUBO,2018-05-19,0,5.1611293,-2.6414389
195,TA00120,Nkroful Agric SHS,2018-05-15,0,4.9718609,-2.322676
196,TA00120,Nkroful Agric SHS,2018-05-16,0,4.9718609,-2.322676
197,TA00120,Nkroful Agric SHS,2018-05-17,0,4.9718609,-2.322676
198,TA00120,Nkroful Agric SHS,2018-05-18,0,4.9718609,-2.322676
199,TA00120,Nkroful Agric SHS,2018-05-19,0,4.9718609,-2.322676
200,TA00121,Half Assini SHS,2018-05-15,4.31,5.0532069,-2.8772937
201,TA00121,Half Assini SHS,2018-05-16,8.53,5.0532069,-2.8772937
202,TA00121,Half Assini SHS,2018-05-17,10.25,5.0532069,-2.8772937
203,TA00121,Half Assini SHS,2018-05-18,0.06,5.0532069,-2.8772937
204,TA00121,Half Assini SHS,2018-05-19,0,5.0532069,-2.8772937
205,TA00122,Amenfiman SHS,2018-05-15,0.78,5.7786387,-2.090195
206,TA00122,Amenfiman SHS,2018-05-16,0.86,5.7786387,-2.090195
207,TA00122,Amenfiman SHS,2018-05-17,4.28,5.7786387,-2.090195
208,TA00122,Amenfiman SHS,2018-05-18,21.21,5.7786387,-2.090195
209,TA00122,Amenfiman SHS,2018-05-19,0.05,5.7786387,-2.090195
210,TA00123,Boa Amponsem SHS,2018-05-15,0,5.9631772,-1.7923338
211,TA00123,Boa Amponsem SHS,2018-05-16,0.43,5.9631772,-1.7923338
212,TA00123,Boa Amponsem SHS,2018-05-17,0.93,5.9631772,-1.7923338
213,TA00123,Boa Amponsem SHS,2018-05-18,0.21,5.9631772,-1.7923338
214,TA00123,Boa Amponsem SHS,2018-05-19,0.04,5.9631772,-1.7923338
215,TA00124,Church of Christ SHS,2018-05-15,0,5.5571256,-1.6933381
216,TA00124,Church of Christ SHS,2018-05-16,0,5.5571256,-1.6933381
217,TA00124,Church of Christ SHS,2018-05-17,0,5.5571256,-1.6933381
218,TA00124,Church of Christ SHS,2018-05-18,0,5.5571256,-1.6933381
219,TA00124,Church of Christ SHS,2018-05-19,0,5.5571256,-1.6933381
220,TA00125,Twifo Praso SHS,2018-05-15,0,5.6158834,-1.5797063
221,TA00125,Twifo Praso SHS,2018-05-16,0,5.6158834,-1.5797063
222,TA00125,Twifo Praso SHS,2018-05-17,0,5.6158834,-1.5797063
223,TA00125,Twifo Praso SHS,2018-05-18,0,5.6158834,-1.5797063
224,TA00125,Twifo Praso SHS,2018-05-19,0,5.6158834,-1.5797063
225,TA00126,Berekuso - Ashesi Unversity,2018-05-15,0,5.758029,-0.221716
226,TA00126,Berekuso - Ashesi Unversity,2018-05-16,1.8,5.758029,-0.221716
227,TA00126,Berekuso - Ashesi Unversity,2018-05-17,11.8,5.758029,-0.221716
228,TA00126,Berekuso - Ashesi Unversity,2018-05-18,0,5.758029,-0.221716
